date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-06-27,720.87153653,68.0663888888889,0.5798055555555556,9.895847222222224,1017.1135,6.271569444444444,247.49027777777775,0.0,0.1039166666666666,Clear,6,27,Monday,0,2,Summer,0,6.581847195818129
2016-06-28,576.804751078,73.26004166666667,0.5633472222222222,9.400625,1014.561527777778,6.348027777777777,214.87083333333337,0.00377875,0.0660833333333333,Clear,6,28,Tuesday,0,2,Summer,0,6.359236010701686
2016-06-29,665.599754521,73.735125,0.7301805555555556,9.062777777777775,1008.3525555555556,4.1653472222222225,242.9152777777778,0.0030523611111111,0.073625,Clear,6,29,Wednesday,0,2,Summer,0,6.502189797618246
2016-06-30,598.097173869,78.1692361111111,0.6405000000000001,9.497402777777776,1009.7619583333332,5.192236111111111,222.0236111111111,0.0,0.1189305555555555,Clear,6,30,Thursday,0,2,Summer,0,6.395423811784478
2016-07-01,629.596235746,75.74494444444444,0.8047916666666667,8.220902777777779,1007.7689305555556,3.726319444444444,126.20277777777778,0.0048615277777777,0.1599166666666666,Clear,7,1,Friday,0,3,Summer,0,6.446665777771862
2016-07-02,592.376021289,69.52058333333333,0.7489722222222223,9.709375,1010.9061944444444,6.067472222222222,80.91388888888889,0.0024005555555555,0.4585555555555556,Clear,7,2,Saturday,1,3,Summer,0,6.385828298022729
2016-07-03,744.637008506,62.943576388888886,0.8745277777777777,7.685944444444445,1010.7533472222224,3.8616944444444448,99.05763888888887,0.006674375,1.0,Clear,7,3,Sunday,1,3,Summer,0,6.614238898011344
2016-07-04,875.23911702,66.23779166666667,0.8187291666666667,9.330923611111112,1013.8249930555556,3.869618055555556,284.34305555555557,0.0031979166666666,0.4037708333333333,Clear,7,4,Monday,0,3,Summer,1,6.775639018323027
2016-07-05,587.680976525,66.94546527777779,0.7115416666666667,8.7281875,1019.1062638888887,3.5289305555555552,239.5986111111111,0.0,0.1113333333333333,Clear,7,5,Tuesday,0,3,Summer,0,6.377884401132954
2016-07-06,943.64273005,75.44284027777778,0.6306041666666667,9.942604166666667,1017.3444791666668,7.0423888888888895,193.5951388888889,0.0,0.1175416666666666,Clear,7,6,Wednesday,0,3,Summer,0,6.85080679257059
2016-07-07,756.479532459,77.64046527777778,0.6922291666666667,9.465979166666669,1014.1113194444443,9.584708333333332,187.90625,0.0010845833333333,0.33325,Clear,7,7,Thursday,0,3,Summer,0,6.629996517162375
2016-07-08,689.717583718,77.93038194444445,0.7710416666666666,7.510645833333333,1009.5394930555556,6.127562500000001,215.01111111111112,0.0090804166666666,0.1969791666666666,Clear,7,8,Friday,0,3,Summer,0,6.537731033593381
2016-07-09,610.546557615,76.61582638888889,0.6716041666666667,9.0274375,1013.860361111111,4.360923611111112,227.18819444444443,0.0015041666666666,0.1464444444444444,Clear,7,9,Saturday,1,3,Summer,0,6.4159910889665035
